ATDNNR,Country,Subdivision,Site,PlotCode,Forest_old,Forest,NewForest,Altitude,Latitude,Longitude,PlotSize,PlotType,DBHmin,N,co-author,Owner/contact
827,Colombia,Meta,"Tinigua Park plot 5, Rio Duda",TINP_05,FL,VA,VA,,2.62,-74.03,0.9,combi,10,389,y,Pablo Stevenson
828,Brazil,Pará,Santa Bárbara do Pará 1,STA_BAR_1_4,FL,VA,VA,,-1.16,-48.29,1,single,10,821.5,n,"Gideão Costa dos Santos, Mário Augusto Gonçalves Jardim"
832,Brazil,Mato Grosso,Alta Floresta city B,ALT_FL_B,TF,TF,TFBS,,-9.94,-56.34,1,combi,10,507,n,Antonio Francisco Malheiros
833,Brazil,Mato Grosso,Alta Floresta city A,ALT_FL_A,TF,TF,TFBS,,-9.94,-56.34,1,combi,10,558,n,Antonio Francisco Malheiros
834,Brazil,Amazonas,Reserva Biologica do Cuieiras,CUI_01,PZ,PZ,PZ,,-2.6,-60.21,1,single,10,660,y,Iêda Amaral
835,Brazil,Amazonas,Estacao Ecologica Anavilhanas,ANA_01,TF,TF,TFGS,,-2.05,-60.37,1,single,10,763,y,"Iêda Amaral, Francisca Dionízia de Almeida Matos"
836,Brazil,Amazonas,Santa Isabel - Estrada do Tibara,SI_01,PZ,PZ,PZ,,-0.41,-64.95,1,single,10,590,y,Iêda Amaral
837,Brazil,Roraima,Caracarai,CARAC_01,floresta de terra firme,TF,TFGS,,1.03,-62.09,1,single,10,544,n,Juan Gabriel Soler Alarcón
838,Bolivia,La Paz,"Parque Nacional Madidi, Rio Hondo",PP_Hondo_1,"Bosque amazónico preandino, Terraza",TF,TFPB,,-14.61,-67.65,1,single,10,522,y,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
839,Bolivia,La Paz,"Parque Nacional y Área Natural de Manejo Integrado Madidi. Rio Tuichi, Laguna Chalalan.Bosque amazónico estacional preandino.",PP_Chalal_6,"Bosque amazónico preandino, Terraza",TF,TFPB,,-14.42,-67.92,1,single,10,716,y,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
840,Bolivia,La Paz,la cuenca baja del río Tuichi y el arroyo Rudidi,RIO_TUI,TF,TF,TFBS,,-14.36,-61.96,1,single,10,587,n,Miki Hernan Calzadilla-Tomianovich
841,Brazil,Roraima,P1 Floresta Ombrófila de Baixio - grid PPBio inventario,VIRUA_01,TF,TF,TFGS,,1.49,-61.01,1,single,10,516,y,Rogerio Gribel
842,Brazil,Roraima,P2 Floresta Ombrófila sub-motana - grid PPBio inventario,VIRUA_02,TF,TF,TFGS,,1.48,-61.01,1,single,10,646,y,Rogerio Gribel
843,Brazil,Roraima,P3 Campinarana Florestada (transição fl ombrofila) - Estr Perdida inventario,VIRUA_03,CM,TF,TFGS,,1.48,-60.97,1,single,10,1263,y,Rogerio Gribel
844,Brazil,Roraima,P4 Campinarana Florestada - Estrada Perdida inventario,VIRUA_04,CM,TF,TFGS,,1.37,-60.98,1,single,10,1238,y,Rogerio Gribel
845,Brazil,Roraima,P5 Floresta de Varzea e dique marginal - rio Barauna inventario,VIRUA_05,FL,VA,IG,,1.42,-60.84,1,single,10,530,y,Rogerio Gribel
846,Brazil,Roraima,P6 Floresta de Terra Firme - rio Barauna inventario,VIRUA_06,TF,TF,TFGS,,1.42,-60.85,1,single,10,613,y,Rogerio Gribel
848,Brazil,Roraima,P8 Floresta de Igapó - rio Iruá inventario,VIRUA_08,FL,IG,IG,,1.03,-61.24,1,single,10,1125,y,Rogerio Gribel
849,Brazil,Roraima,P10 Campinarana florestada - rio Iruá inventario,VIRUA_10,CM,TF,TFGS,,1.12,-61.23,1,single,10,908,y,Rogerio Gribel
850,Brazil,Roraima,"P17 Floresta Varzea - rio Anauá, Campinho inventario",VIRUA_17,FL,VA,IG,,0.96,-61.16,1,single,10,446,y,Rogerio Gribel
851,Brazil,Roraima,"P20 Floresta de Terra Firme - rio Rio Branco, trilha Ano Bom inventario",VIRUA_20,TF,TF,TFGS,,1.55,-61.22,1,single,10,677,y,Rogerio Gribel
852,Brazil,Amazonas,"PDBFF1101_1, Gaviao",PDBFF1101_1,terra firme,TF,TFGS,,-2.43,-59.85,1,single,10,614,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
853,Brazil,Amazonas,"PDBFF1102_1, Gaviao",PDBFF1102_1,terra firme,TF,TFGS,,-2.43,-59.85,1,single,10,563,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
854,Brazil,Amazonas,"PDBFF1103_1, Gaviao",PDBFF1103_1,terra firme,TF,TFGS,,-2.42,-59.85,1,single,10,613,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
855,Brazil,Amazonas,"PDBFF1105_1, Gaviao",PDBFF1105_1,terra firme,TF,TFGS,,-2.42,-59.82,1,single,10,656,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
856,Brazil,Amazonas,"PDBFF1109_1, KM34",PDBFF1109_1,terra firme,TF,TFGS,,-2.38,-59.86,1,single,10,589,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
857,Brazil,Amazonas,"PDBFF1113_1, Florestal",PDBFF1113_1,terra firme,TF,TFGS,,-2.4,-59.85,1,single,10,614,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
858,Brazil,Amazonas,"PDBFF1301_1, Florestal",PDBFF1301_1,terra firme,TF,TFGS,,-2.39,-59.85,1,single,10,625,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
859,Brazil,Amazonas,"PDBFF1301_4, Florestal",PDBFF1301_4,terra firme,TF,TFGS,,-2.38,-59.85,1,single,10,589,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
860,Brazil,Amazonas,"PDBFF1301_5, Florestal",PDBFF1301_5,terra firme,TF,TFGS,,-2.38,-59.85,1,single,10,647,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
861,Brazil,Amazonas,"PDBFF1301_6, Florestal",PDBFF1301_6,terra firme,TF,TFGS,,-2.39,-59.85,1,single,10,632,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
862,Brazil,Amazonas,"PDBFF1301_7, Florestal",PDBFF1301_7,terra firme,TF,TFGS,,-2.39,-59.85,1,single,10,619,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
863,Brazil,Amazonas,"PDBFF1301_8, Florestal",PDBFF1301_8,terra firme,TF,TFGS,,-2.39,-59.85,1,single,10,589,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
864,Brazil,Amazonas,"PDBFF1501_1, KM41",PDBFF1501_1,terra firme,TF,TFGS,,-2.44,-59.77,1,single,10,606,y,Alexandre Adalardo de Oliveira
865,Brazil,Amazonas,"PDBFF1501_2, KM41",PDBFF1501_2,terra firme,TF,TFGS,,-2.44,-59.76,1,single,10,650,y,Alexandre Adalardo de Oliveira
866,Brazil,Amazonas,"PDBFF1501_3, KM41",PDBFF1501_3,terra firme,TF,TFGS,,-2.44,-59.77,1,single,10,614,y,Alexandre Adalardo de Oliveira
867,Brazil,Amazonas,"PDBFF2303_5, Dimona",PDBFF2303_5,terra firme,TF,TFGS,,-2.32,-60.1,1,single,10,657,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
868,Brazil,Amazonas,"PDBFF2303_6, Dimona",PDBFF2303_6,terra firme,TF,TFGS,,-2.32,-60.1,1,single,10,718,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
869,Brazil,Amazonas,"PDBFF3304_8, Porto Allegre",PDBFF3304_8,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,641,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
870,Brazil,Amazonas,"PDBFF3304_9, Porto Allegre",PDBFF3304_9,terra firme,TF,TFGS,,-2.37,-59.97,1,single,10,674,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
871,Brazil,Amazonas,"PDBFF3402_1, Cabo Frio",PDBFF3402_1,terra firme,TF,TFGS,,-2.37,-59.97,1,single,10,562,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
872,Brazil,Amazonas,"PDBFF3402_2, Cabo Frio",PDBFF3402_2,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,570,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
873,Brazil,Amazonas,"PDBFF3402_3, Cabo Frio",PDBFF3402_3,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,680,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
874,Brazil,Amazonas,"PDBFF3402_4, Cabo Frio",PDBFF3402_4,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,565,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
875,Brazil,Amazonas,"PDBFF3402_5, Cabo Frio",PDBFF3402_5,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,605,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
876,Brazil,Amazonas,"PDBFF3402_6, Cabo Frio",PDBFF3402_6,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,570,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
877,Brazil,Amazonas,"PDBFF3402_7, Cabo Frio",PDBFF3402_7,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,584,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
878,Brazil,Amazonas,"PDBFF3402_8, Cabo Frio",PDBFF3402_8,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,585,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
879,Brazil,Amazonas,"PDBFF3402_9, Cabo Frio",PDBFF3402_9,terra firme,TF,TFGS,,-2.36,-59.97,1,single,10,593,y,"Bill Laurance, Ana Segalin de Andrade, Susan Laurance, José Luís Camargo"
880,Bolivia,Pando,Florencia,PANDO_01,TF,TF,TFPB,,-11.46,-67.44,1,single,10,377,y,"Bonifacio Mostacedo, Juan Carlos Montero"
881,Bolivia,Pando,Sacrificio,PANDO_02,TF,TF,TFPB,,-11.39,-67.3,1,single,10,541,y,"Bonifacio Mostacedo, Juan Carlos Montero"
882,Bolivia,Pando,Santa Rosa,PANDO_03,TF,TF,TFPB,,-10.62,-67.42,1,single,10,571,y,"Bonifacio Mostacedo, Juan Carlos Montero"
883,Bolivia,Pando,San Pedro,PANDO_04,TF,TF,TFPB,,-10.89,-67.53,1,single,10,725,y,"Bonifacio Mostacedo, Juan Carlos Montero"
884,Bolivia,Pando,San Juan Manupare,PANDO_05,TF,TF,TFPB,,-11.66,-67.27,1,single,10,660,y,"Bonifacio Mostacedo, Juan Carlos Montero"
885,Bolivia,Pando,Blanca Flor,PANDO_06,TF,TF,TFPB,,-11.74,-66.94,1,single,10,544,y,"Bonifacio Mostacedo, Juan Carlos Montero"
886,Bolivia,Pando,Reserva,PANDO_07,TF,TF,TFPB,,-10.14,-66.18,1,single,10,630,y,"Bonifacio Mostacedo, Juan Carlos Montero"
887,Bolivia,Pando,Santo Domingo,PANDO_08,TF,TF,TFPB,,-10.43,-66.34,1,single,10,716,y,"Bonifacio Mostacedo, Juan Carlos Montero"
888,Bolivia,Pando,Los Indios,PANDO_09,TF,TF,TFPB,,-10.44,-65.56,1,single,10,552,y,"Bonifacio Mostacedo, Juan Carlos Montero"
889,Bolivia,Pando,Cachuela El Carmen,PANDO_10,TF,TF,TFPB,,-10.26,-65.67,1,single,10,571,y,"Bonifacio Mostacedo, Juan Carlos Montero"
890,Bolivia,Pando,Asentamiento Palmitero,PANDO_11,TF,TF,TFPB,,-10.09,-65.26,1,single,10,718,y,"Bonifacio Mostacedo, Juan Carlos Montero"
891,Bolivia,Pando,Puerto Península,PANDO_12,Fl (varzea),VA,VA,,-11.09,-67.27,1,single,10,647,y,"Bonifacio Mostacedo, Juan Carlos Montero"
892,Bolivia,Pando,Ayacucho,PANDO_13,Fl (igapó),IG,IG,,-11.24,-67.58,1,single,10,542,y,"Bonifacio Mostacedo, Juan Carlos Montero"
893,Bolivia,Pando,Barraca Oriente,PANDO_14,Fl (igapó),IG,IG,,-11.74,-67.39,1,single,10,576,y,"Bonifacio Mostacedo, Juan Carlos Montero"
894,Bolivia,Pando,Conquista,PANDO_15,Fl (varzea),VA,VA,,-11.32,-67.15,1,single,10,649,y,"Bonifacio Mostacedo, Juan Carlos Montero"
895,Bolivia,Pando,El Urucú,PANDO_16,TF,TF,TFPB,,-11.92,-67.68,1,single,10,611,y,"Bonifacio Mostacedo, Juan Carlos Montero"
896,Bolivia,Pando,Montecarlo,PANDO_17,Fl (igapó),IG,IG,,-11.97,-67.65,1,single,10,654,y,"Bonifacio Mostacedo, Juan Carlos Montero"
897,Bolivia,Pando,Nuevo Orizonte,PANDO_18,TF,TF,TFPB,,-11.71,-67.31,1,single,10,617,y,"Bonifacio Mostacedo, Juan Carlos Montero"
898,Bolivia,Pando,Chibé,PANDO_19,TF,TF,TFPB,,-12.29,-68.57,1,single,10,675,y,"Bonifacio Mostacedo, Juan Carlos Montero"
899,Bolivia,Pando,Holanda,PANDO_20,TF,TF,TFPB,,-11.78,-68.72,1,single,10,619,y,"Bonifacio Mostacedo, Juan Carlos Montero"
900,Bolivia,Pando,Lago,PANDO_21,TF,TF,TFPB,,-11.44,-68.63,1,single,10,594,y,"Bonifacio Mostacedo, Juan Carlos Montero"
901,Bolivia,Pando,Extrema,PANDO_22,TF,TF,TFPB,,-11.43,-69.22,1,single,10,539,y,"Bonifacio Mostacedo, Juan Carlos Montero"
902,Bolivia,Pando,Buen Futuro,PANDO_23,TF,TF,TFPB,,-11.14,-69.24,1,single,10,653,y,"Bonifacio Mostacedo, Juan Carlos Montero"
903,Bolivia,Pando,Bioceánica,PANDO_24,TF,TF,TFPB,,-11.09,-69.41,1,single,10,647,y,"Bonifacio Mostacedo, Juan Carlos Montero"
904,Bolivia,Pando,Posón,PANDO_25,TF,TF,TFPB,,-11.56,-68.14,1,single,10,603,y,"Bonifacio Mostacedo, Juan Carlos Montero"
905,Bolivia,Pando,Hiroshima,PANDO_26,TF,TF,TFPB,,-11.42,-67.82,1,single,10,556,y,"Bonifacio Mostacedo, Juan Carlos Montero"
906,Bolivia,Pando,Remanso,PANDO_27,Fl (varzea),VA,VA,,-11.24,-68.35,1,single,10,571,y,"Bonifacio Mostacedo, Juan Carlos Montero"
907,Bolivia,Pando,El Turi,PANDO_28,TF,TF,TFPB,,-11.46,-67.03,1,single,10,572,y,"Bonifacio Mostacedo, Juan Carlos Montero"
908,Bolivia,Pando,Cinma,PANDO_29,TF,TF,TFPB,,-10.36,-66.53,1,single,10,573,y,"Bonifacio Mostacedo, Juan Carlos Montero"
909,Bolivia,Pando,Rio Negro,PANDO_30,TF,TF,TFPB,,-10.7,-66.03,1,single,10,557,y,"Bonifacio Mostacedo, Juan Carlos Montero"
910,Peru,Madre de Dios,"Tambopata, plot 7",TAM_08,"terra firme, Mixed forest, Pre-Holocene",TF,TFPB,220,-12.83,-69.27,1,single,10,554,y,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez"
934,Brazil,Mato Grosso,"Fazenda Amoreis, Rio das Pacas, Querência",FAZ_AM,TF,TF,TFBS,,-11.86,-52.88,1.005,pcq,10,736,n,Sustanis Horn Kunz
938,Colombia,Putumayo,CEA Mocoa PP1,CEA_01,TF,TF,TFPB,,1.08,-76.63,1,single,10,729,y,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
939,Colombia,Putumayo,CEA Mocoa PP3,CEA_03,TF,TF,TFPB,,1.08,-76.63,1,single,10,779,y,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
940,Colombia,Putumayo,CEA Mocoa PP2,CEA_02,TF,TF,TFPB,,1.08,-76.63,1,single,10,770,y,"Maria Cristina Peñuela Mora, Eliana M. Jimenez"
941,Peru,Loreto,Sucusari D,SUC_04,"terra firme, Mixed forest, Pre-Holocene",TF,TFPB,107,-3.25,-72.89,1,single,10,628,y,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez, Tim Baker"
942,Peru,Loreto,Sucusari E,SUC_05,"terra firme, Mixed forest, Pre-Holocene",TF,TFPB,118,-3.26,-72.89,1,single,10,592,y,"Oliver Phillips, Abel Monteagudo, Rodolfo Vasquez, Tim Baker"
943,Peru,Loreto,Sabalillo,SABAL,TF,TF,TFPB,,-3.34,-72.31,1,single,10,582,y,Nigel Pitman
946,Brazil,Amapá,Reserva Extrativisma do Cajari,CAJARI,floresta de terra firme (incl savannas),TF,TFGS,,-0.11,-51.29,1,single,10,521,n,Samuel Almeida
947,Bolivia,La Paz,"Parque Nacional Madidi, Río Heath, Bosque amazonico pluviestacional inundable.",PP_Heathi_7,"Bosque amazonico inundable, Llanura",VA,VA,,-13.03,-68.85,1,single,10,559,y,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
948,Bolivia,La Paz,"Parque Nacional Madidi, Rio Heath, Bosque amazonico pluviestacional de tierra firme.",PP_Heatht_8,"Bosque amazonico de tierra firme, Lanura",TF,TFPB,,-13.03,-68.84,1,single,10,579,y,"Sebastián Tello, Alfredo Fuentes, Alejandro Araujo-Murakami"
949,Brazil,Amazonas,Anavilhanas archipelago,RN_AN1,FL,IG,IG,,-2.76,-60.76,1,single,10,486,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
950,Brazil,Amazonas,Anavilhanas archipelago,RN_AN2,FL,IG,IG,,-2.69,-60.78,1,single,10,406,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
951,Brazil,Amazonas,Anavilhanas archipelago,RN_AN3,FL,IG,IG,,-2.74,-60.75,1,single,10,509,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
952,Brazil,Amazonas,Barcelos,RN_BA1,FL,IG,IG,,-0.69,-63.17,1,single,10,777,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
953,Brazil,Amazonas,Barcelos,RN_BA2,FL,IG,IG,,-0.64,-63.27,1,single,10,894,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
954,Brazil,Amazonas,Barcelos,RN_BA3,FL,IG,IG,,-0.49,-63.56,1,single,10,212,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
955,Brazil,Amazonas,Rio Jufaris,RN_JUF1,FL,IG,IG,,-0.92,-62.3,1,single,10,609,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
956,Brazil,Amazonas,Rio Jufaris,RN_JUF2,FL,IG,IG,,-1.09,-62.06,1,single,10,981,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
957,Brazil,Amazonas,Santa Isabel,RN_ST1,FL,IG,IG,,-0.35,-63.91,1,single,10,515,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
958,Brazil,Amazonas,Santa Isabel,RN_ST2,FL,IG,IG,,-0.46,-64.78,1,single,10,516,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
959,Brazil,Amazonas,Santa Isabel,RN_ST3,FL,IG,IG,,-0.36,-64.31,1,single,10,595,y,"Juan Carlos Montero, Florian Wittmann, Maite Piedade"
960,Peru,Loreto,"Allpahuayo B, sandy",ALP_21,TF,TF,TFPB,,-3.95,-73.44,0.48,single,10,329,y,"Rodolfo Vasquez, Abel Monteagudo, Oliver Phillips"
961,Peru,Loreto,"Allpahuayo B, clayed",ALP_22,TF,TF,TFPB,,-3.95,-73.44,0.44,single,10,316,y,"Rodolfo Vasquez, Abel Monteagudo, Oliver Phillips"
974,Venezuela,Bolivar,"El Dorado, KM93, plotG1, ED1, ELD-01 *",ELD_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFGS,220,6.1,-61.4,0.25,single,10,127,y,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips, Armando Torres-Lezama"
976,Venezuela,Bolivar,"El Dorado, km98, plotG3, ED2, ELD-03 *",ELD_03,"terra firme, Mixed forest, Pre-Quaternary",TF,TFGS,404,6.08,-61.4,0.25,single,10,161,y,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips, Armando Torres-Lezama"
978,Peru,Loreto,"Centro de Investigaciones Jenaro Herrera, Quebrada Fierro Cano, 5.3 km al NE de Jenaro Herrera.",JEN_11,"terra firme, Mixed forest, Pre-Holocene",TF,TFPB,151,-4.88,-73.63,1,single,10,624,y,"Eurídice Honorio, Roel Brienen, Oliver Phillips"
979,Peru,Loreto,"Centro de Investigaciones Jenaro Herrera, 4.6 km al NEE de Jenaro Herrera.",JEN_12,"White sand, Mixed forest, Pleistocene",PZ,PZ,122,-4.9,-73.63,1,single,10,767,y,"Eurídice Honorio, Roel Brienen, Oliver Phillips"
980,Peru,Madre de Dios,Jacaratia Los Amigos,LAS_02,"Former floodplain, Mixed forest, Holocene",TFPV,TFPB,235,-12.53,-70.08,1,single,10,576,y,"Nigel Pitman, Fernando Cornejo Valverde, César Vela, Therany Gonzales"
982,Peru,Pasco,Paujil Bosque Humedo Tropical,PNY_04,"terra firme, Mixed forest",TF,TFPB,414,-10.34,-75.25,1,single,10,599,y,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
983,Peru,Pasco,Paujil-Venado Bosque Humedo Tropical,PNY_05,"terra firme, Mixed forest",TF,TFPB,453,-10.35,-75.25,1,single,10,598,y,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
984,Peru,Pasco,Paujil-Venado Bosque Humedo Tropical,PNY_06,"terra firme, Mixed forest",TF,TFPB,462,-10.36,-75.25,1,single,10,488,y,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
985,Peru,Pasco,PNY-07; Paujil-Venado Bosque Humedo Tropical,PNY_07,"terra firme, Mixed forest",TF,TFPB,414,-10.35,-75.26,1,single,10,557,y,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips"
986,Venezuela,Bolivar,"Rio Grande, plotDA1, RG, RIO-01 *",RIO_01,"terra firme, Mixed forest, Pre-Quaternary",TF,TFGS,312,8.11,-61.69,0.25,single,10,148,y,"Hirma Ramirez-Angulo, Geertje van der Heijden, Emilio Vilanova Torre, Oliver Phillips"
988,Bolivia,Cochabamba,Sacta Plot 6,SCT_06,"terra firme, Mixed forest",TF,TFPB,248,-17.09,-64.77,1,single,10,642,y,"Luzmila Arroyo, Casimiro Mendoza, Oliver Phillips"
989,Peru,Loreto,Yanamono B,YAN_02,"terra firme, Mixed forest, Pre-Quaternary",TF,TFPB,109,-3.43,-72.84,1,single,10,629,y,"Abel Monteagudo, Rodolfo Vasquez, Oliver Phillips, Tim Baker"
990,Colombia,Guainía,INI_19mh-CP,INI_19mh_CP,PZ,PZ,PZ,,3.61,-67.55,1,combi,10,694,y,Dairon Cárdenas
991,Colombia,Guainía,INI_19mh-RA,INI_19mh_RA,PZ,PZ,PZ,,3.88,-67.86,0.6,combi,10,411,y,Dairon Cárdenas
992,Colombia,Guainía,INI_20mh-CP1,INI_20mh_CP1,PZ,PZ,PZ,,3.8,-67.83,1.4,combi,10,832,y,Dairon Cárdenas
993,Colombia,Guainía,INI_20mh-CP2,INI_20mh_CP2,PZ,PZ,PZ,,3.55,-67.67,0.7,combi,10,518,y,Dairon Cárdenas
994,Colombia,Guainía,INI_20mh-CP3,INI_20mh_CP3,PZ,PZ,PZ,,3.09,-67.79,1,combi,10,854,y,Dairon Cárdenas
995,Colombia,Guainía,INI_47-RI,INI_47_RI,FL,IG,IG,,3.96,-67.79,0.5,combi,10,264,y,Dairon Cárdenas
996,Colombia,Guainía,INI_47-RM,INI_47_RM,FL,IG,IG,,3.77,-67.96,0.5,combi,10,304,y,Dairon Cárdenas
997,Colombia,Guainía,INI_47-RT,INI_47_RT,PZ,PZ,PZ,,3.62,-67.82,0.5,combi,10,309,y,Dairon Cárdenas
998,Colombia,Guainía,INI_48-CV,INI_48_CV,PZ,PZ,PZ,,3.14,-67.78,0.5,combi,10,591,y,Dairon Cárdenas
999,Colombia,Guainía,INI_48-RM,INI_48_RM,FL,IG,IG,,3.7,-67.47,0.5,combi,10,565,y,Dairon Cárdenas
1005,Brazil,Amazonas,"Lago Amana, plot TF1",AMANA_TF1,TF,TF,TFPB,,-2.56,-64.7,1,single,10,561,y,"Jochen Schöngart, Florian Wittmann"
1006,Brazil,Amazonas,"Lago Amana, plot TF2",AMANA_TF2,TF,TF,TFPB,,-2.57,-64.7,1,single,10,544,y,"Jochen Schöngart, Florian Wittmann"
1007,Brazil,Amazonas,"Lago Amana, plot TF3",AMANA_TF3,TF,TF,TFPB,,-2.57,-64.71,1,single,10,641,y,"Jochen Schöngart, Florian Wittmann"
1008,Brazil,Amazonas,Reserva de Desenvolvimento Sustentável do Tupé,TUPE_01,TF,TF,TFBS,,-3.04,-60.26,0.5,single,10,287,n,"Karen Souza Diniz, Veridiana Vizoni Scudeller"
1009,Brazil,Amapá,"Vila Progresso, Bailique, Varzea alta",AMAP_VP,FL,VA,VA,,0.84,-50.12,1,single,5,724,n,José Antonio Leite de Queiroz
1010,Brazil,Amapá,"Ig. República, Varzea alta",AMAP_IP,FL,VA,VA,,0.69,-50.42,1,single,5,862,n,José Antonio Leite de Queiroz
1011,Brazil,Amapá,"Rio Aracu, Varzea baixa",AMAP_FM,FL,VA,VA,,0.28,-50.72,1,single,5,916,n,José Antonio Leite de Queiroz
1012,Brazil,Amapá,"Ig. Fortaleza, Varzea baixa",AMAP_II,FL,VA,VA,,-0.08,-51.13,1,single,5,847,n,José Antonio Leite de Queiroz
1013,Brazil,Amapá,"Furo do Mazagão, Varzea alta",AMAP_RP,FL,VA,VA,,-0.08,-51.32,1,single,5,895,n,José Antonio Leite de Queiroz
1014,Brazil,Amapá,"Ig. Inveja, Varzea alta",AMAP_IR,FL,VA,VA,,-0.15,-51.27,1,single,5,929,n,José Antonio Leite de Queiroz
1015,Brazil,Amapá,Rio Mutuacá/Mazagão,AMAP_RA,FL,VA,VA,,-0.21,-51.31,1,single,5,815,n,José Antonio Leite de Queiroz
1016,Brazil,Amapá,"Rio Ajudante, Varzea baixa",AMAP_IF,FL,VA,VA,,-0.48,-51.52,1,single,5,1027,n,José Antonio Leite de Queiroz
1017,Brazil,Amapá,"Rio Preto, Varzea alta",AMAP_RM,FL,VA,VA,,-0.64,-51.65,1,single,5,961,n,José Antonio Leite de Queiroz
1018,Brazil,Amapá,"Rio Maniva, Ilha do Pará, Varzea baixa",AMAP_RJ,FL,VA,VA,,-0.15,-51.14,1,single,5,903,n,José Antonio Leite de Queiroz
1021,Brazil,Mato Grosso,"Fazenda Sao Sebastiao, Rio das Pacas, Querência",FAZ_SS,TF,TF,TFBS,,-11.96,-52.58,0.978,pcq,10,745,n,Sustanis Horn Kunz
1022,Brazil,Mato Grosso,"Fazenda Dois Americanos, Rio das Pacas, Querência",FAZ_DA,TF,TF,TFBS,,-12.21,-52.58,1,pcq,10,772,n,Sustanis Horn Kunz
1023,Brazil,Amazonas,"Ducke, Igarape Barro Branco 1",RD_BB_01,FL,VA,SW,,-2.93,-59.98,1,single,10,777,n,"Joneido Mouzinho de Brito, Florian Wittmann"
1025,Brazil,Tocantins,"Campo Sujo, Lagoa da Confusão 1",LCON_01,FL,VA,IG,,-10.89,-49.63,1,single,5,665,n,Elizabeth Rodrigues Brito
